 80           10.00PB        1             12           2.88          1.21          9.83          10.63         39.51         -41.38        0             0             0
 80           10.00PB        1             14           3.31          1.21          11.72         10.63         46.80         -46.65        0             0             0
 80           10.00PB        1             16           3.81          1.21          13.95         10.63         54.53         -52.17        0             0             0
 82.5         2.50P          1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 82.5         2.50P          1             2            1.48          1.21          2.58          10.63         8.77          -9.97         39            30            48
 82.5         2.50P          1             4            1.72          1.21          3.52          10.63         15.19         -16.10        42            27            56
 82.5         2.50P          1             6            1.99          1.21          4.56          10.63         21.70         -21.64        46            23            63
 82.5         2.50P          1             8            2.32          1.21          5.76          10.63         28.70         -27.12        50            17            70
 82.5         2.50P          1             10           2.66          1.21          7.02          10.63         35.37         -32.09        0             0             0
 82.5         2.50P          1             12           3.08          1.21          8.58          10.63         42.99         -37.51        0             0             0
 82.5         2.50P          1             14           3.53          1.21          10.20         10.63         50.25         -42.46        0             0             0
 82.5         2.50P          1             16           4.05          1.21          12.12         10.63         58.07         -47.69        0             0             0
 85           5.00P          1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 85           5.00P          1             2            1.52          1.21          2.46          10.63         10.00         -9.08         41            29            47
 85           5.00P          1             4            1.79          1.21          3.28          10.63         16.91         -14.61        46            26            54
 85           5.00P          1             6            2.08          1.21          4.15          10.63         23.54         -19.55        50            21            60
 85           5.00P          1             8            2.41          1.21          5.18          10.63         30.64         -24.58        54            13            67
 85           5.00P          1             10           2.77          1.21          6.29          10.63         37.56         -29.29        0             0             0
 85           5.00P          1             12           3.21          1.21          7.61          10.63         45.18         -34.22        0             0             0
 85           5.00P          1             14           3.71          1.21          9.10          10.63         53.04         -39.17        0             0             0
 85           5.00P          1             16           4.26          1.21          10.75         10.63         60.94         -44.02        0             0             0
 87.5         7.50P          1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 87.5         7.50P          1             2            1.55          1.21          2.36          10.63         10.77         -8.35         43            29            46
 87.5         7.50P          1             4            1.83          1.21          3.09          10.63         17.91         -13.41        48            25            52
 87.5         7.50P          1             6            2.13          1.21          3.85          10.63         24.70         -17.98        52            19            58
 87.5         7.50P          1             8            2.48          1.21          4.78          10.63         32.02         -22.70        57            8             64
 87.5         7.50P          1             10           2.86          1.21          5.78          10.63         39.12         -27.19        0             0             0
 87.5         7.50P          1             12           3.30          1.21          6.92          10.63         46.56         -31.74        0             0             0
 87.5         7.50P          1             14           3.84          1.21          8.35          10.63         55.04         -36.74        0             0             0
 87.5         7.50P          1             16           4.37          1.21          9.74          10.63         62.45         -41.10        0             0             0
 90           10.00P         1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 90           10.00P         1             2            1.58          1.21          2.25          10.63         11.40         -7.46         44            28            45
 90           10.00P         1             4            1.87          1.21          2.88          10.63         18.67         -12.06        49            24            51
 90           10.00P         1             6            2.18          1.21          3.58          10.63         25.75         -16.41        54            18            56
 90           10.00P         1             8            2.54          1.21          4.42          10.63         33.23         -20.94        0             0             0
 90           10.00P         1             10           2.93          1.21          5.30          10.63         40.32         -25.13        0             0             0
 90           10.00P         1             12           3.37          1.21          6.32          10.63         47.81         -29.42        0             0             0
 90           10.00P         1             14           3.92          1.21          7.58          10.63         56.17         -34.13        0             0             0
 90           10.00P         1             16           4.44          1.21          8.77          10.63         63.40         -38.13        0             0             0
 92.5         2.50RP         1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 92.5         2.50RP         1             2            1.59          1.21          2.12          10.63         11.87         -6.40         45            28            43
 92.5         2.50RP         1             4            1.90          1.21          2.67          10.63         19.50         -10.58        51            23            49
 92.5         2.50RP         1             6            2.22          1.21          3.25          10.63         26.63         -14.46        57            16            54
 92.5         2.50RP         1             8            2.61          1.21          3.98          10.63         34.44         -18.68        0             0             0
 92.5         2.50RP         1             10           3.00          1.21          4.74          10.63         41.65         -22.55        0             0             0
 92.5         2.50RP         1             12           3.44          1.21          5.59          10.63         48.94         -26.41        0             0             0
 92.5         2.50RP         1             14           4.00          1.21          6.66          10.63         57.26         -30.74        0             0             0
 92.5         2.50RP         1             16           4.52          1.21          7.69          10.63         64.45         -34.50        0             0             0
 95           5.00RP         1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 95           5.00RP         1             2            1.61          1.21          1.94          10.63         12.23         -4.92         46            28            42
 95           5.00RP         1             4            1.93          1.21          2.37          10.63         20.21         -8.41         53            22            46
 95           5.00RP         1             6            2.26          1.21          2.83          10.63         27.52         -11.73        59            14            50
 95           5.00RP         1             8            2.66          1.21          3.41          10.63         35.53         -15.39        0             0             0
 95           5.00RP         1             10           3.09          1.21          4.00          10.63         43.19         -18.75        0             0             0
 95           5.00RP         1             12           3.56          1.21          4.66          10.63         50.73         -22.16        0             0             0
 95           5.00RP         1             14           4.05          1.21          5.37          10.63         58.07         -25.44        0             0             0
 97.5         7.50RP         1             0            1.19          1.21          1.43          10.63         -.01          .02           35            33            35
 97.5         7.50RP         1             2            1.62          1.21          1.80          10.63         12.48         -3.62         47            28            40
 97.5         7.50RP         1             4            1.95          1.21          2.10          10.63         20.65         -6.28         54            22            43
 97.5         7.50RP         1             6            2.30          1.21          2.44          10.63         28.27         -8.91         61            13            47
 97.5         7.50RP         1             8            2.70          1.21          2.84          10.63         36.24         -11.76        0             0             0
 97.5         7.50RP         1             10           3.16          1.21          3.28          10.63         44.39         -14.65        0             0             0
 97.5         7.50RP         1             12           3.66          1.21          3.77          10.63         52.37         -17.49        0             0             0
 97.5         7.50RP         1             14           4.19          1.21          4.28          10.63         60.03         -20.24        0             0             0
 0            .00R           2             0            3.06          3.13          3.69          20.54         -.02          .02           53            52            55
 0            .00R           2             2            3.73          3.13          3.71          20.54         10.70         -.09          67            46            55
 0            .00R           2             4            4.33          3.13          3.79          20.54         19.24         -.55          77            41            56
 0            .00R           2             6            4.96          3.13          3.90          20.54         27.41         -1.13         86            34            57
 0            .00R           2             8            5.72          3.13          4.07          20.54         36.42         -2.08         96            22            58
 0            .00R           2             10           6.54          3.13          4.31          20.54         45.22         -3.31         0             0             0
 0            .00R           2             12           7.45          3.13          4.60          20.54         54.27         -4.75         0             0             0
 0            .00R           2             14           8.49          3.13          4.94          20.54         63.70         -6.39         0             0             0
 2.5          2.50R          2             0            3.06          3.13          3.69          20.54         -.02          .02           53            52            55
 2.5          2.50R          2             2            3.73          3.13          3.46          20.54         10.56         1.40          68            46            53
 2.5          2.50R          2             4            4.33          3.13          3.32          20.54         19.27         2.22          78            41            52
 2.5          2.50R          2             6            4.97          3.13          3.23          20.54         27.55         2.78          88            33            52
 2.5          2.50R          2             8            5.76          3.13          3.17          20.54         36.82         3.13          98            21            52
 2.5          2.50R          2             10           6.59          3.13          3.15          20.54         45.81         3.24          0             0             0
 2.5          2.50R          2             12           7.54          3.13          3.20          20.54         55.12         2.95          0             0             0
 2.5          2.50R          2             14           8.61          3.13          3.28          20.54         64.67         2.49          0             0             0
 5            5.00R          2             0            3.06          3.13          3.69          20.54         -.02          .02           53            52            55
 5            5.00R          2             2            3.71          3.13          3.21          20.54         10.34         2.88          68            46            51
 5            5.00R          2             4            4.31          3.13          2.87          20.54         18.99         5.09          79            41            48
 5            5.00R          2             6            4.95          3.13          2.58          20.54         27.22         7.10          89            33            46
 5            5.00R          2             8            5.74          3.13          2.30          20.54         36.64         9.24          99            20            44
 5            5.00R          2             10           6.60          3.13          2.15          20.54         45.84         10.42         0             0             0
 5            5.00R          2             12           7.52          3.13          2.04          20.54         54.91         11.36         0             0             0
 5            5.00R          2             14           8.61          3.13          1.93          20.54         64.75         12.28         0             0             0
 7.5          7.50R          2             0            3.06          3.13          3.69          20.54         -.02          .02           53            52            55
 7.5          7.50R          2             2            3.69          3.13          3.02          20.54         9.98          4.14          68            46            49
 7.5          7.50R          2             4            4.28          3.13          2.46          20.54         18.48         7.98          80            41            45
 7.5          7.50R          2             6            4.88          3.13          2.00          20.54         26.39         11.63         89            34            40
 7.5          7.50R          2             8            5.61          3.13          1.59          20.54         35.15         15.44         99            22            36
 7.5          7.50R          2             10           6.47          3.13          1.28          20.54         44.57         18.80         0             0             0
 7.5          7.50R          2             12           7.39          3.13          1.04          20.54         53.68         21.65         0             0             0
 7.5          7.50R          2             14           8.42          3.13          .85           20.54         63.10         24.34         0             0             0
 10           10.00R         2             0            3.06          3.13          3.69          20.54         -.02          .02           53            52            55
 10           10.00R         2             2            3.64          3.13          2.78          20.54         9.26          5.68          68            47            47
 10           10.00R         2             4            4.21          3.13          2.05          20.54         17.51         11.20         79            41            40
 10           10.00R         2             6            4.78          3.13          1.48          20.54         25.15         16.60         89            35            34
 10           10.00R         2             8            5.48          3.13          .99           20.54         33.64         22.45         98            24            26
 10           10.00R         2             10           6.26          3.13          .63           20.54         42.30         28.00         0             0             0
 10           10.00R         2             12           7.17          3.13          .35           20.54         51.52         34.23         0             0             0
 10           10.00R         2             14           8.19          3.13          .11           20.54         61.06         43.19         0             0             0
 12.5         2.50YR         2             0            3.06          3.13          3.69          20.54         -.02          .02           53            52            55
 12.5         2.50YR         2             2            3.58          3.13          2.59          20.54         8.33          7.08          68            47            45
 12.5         2.50YR         2             4            4.10          3.13          1.69          20.54         15.99         14.49         79            42            36
 12.5         2.50YR         2             6            4.61          3.13          .99           20.54         22.93         22.33         88            37            26
 12.5         2.50YR         2             8            5.22          3.13          .36           20.54         30.57         33.99         97            28            6
 15           5.00YR         2             0            3.06          3.13          3.69          20.54         -.02          .02           53            52            55
 15           5.00YR         2             2            3.49          3.13          2.38          20.54         6.94          8.61          67            48            43
 15           5.00YR         2             4            3.91          3.13          1.33          20.54         13.28         18.21         77            44            31
 15           5.00YR         2             6            4.32          3.13          .52           20.54         19.09         30.30         85            39            13
